n_neighbors,weights,algorithm,Average Test Accuracy (%)
3,distance,auto,90.80%
3,distance,ball_tree,90.80%
3,distance,brute,90.80%
3,distance,kd_tree,90.40%
3,uniform,auto,90.80%
3,uniform,ball_tree,90.80%
3,uniform,brute,90.80%
3,uniform,kd_tree,90.40%
5,distance,auto,90.40%
5,distance,ball_tree,90.60%
5,distance,brute,90.40%
5,distance,kd_tree,90.40%
5,uniform,auto,90.40%
5,uniform,ball_tree,90.60%
5,uniform,brute,90.40%
5,uniform,kd_tree,90.40%
7,distance,auto,90.60%
7,distance,ball_tree,90.40%
7,distance,brute,90.60%
7,distance,kd_tree,90.40%
7,uniform,auto,90.40%
7,uniform,ball_tree,90.20%
7,uniform,brute,90.40%
7,uniform,kd_tree,90.20%
9,distance,auto,90.20%
9,distance,ball_tree,90.20%
9,distance,brute,90.20%
9,distance,kd_tree,90%
9,uniform,auto,90.20%
9,uniform,ball_tree,90.20%
9,uniform,brute,90.20%
9,uniform,kd_tree,90%
