c_result,c_addmath_gred,c_learning_style,c_how_preparation,c_focus_math,c_difficulty_math,n_hours_studying,n_days_preparation,n_hours_sleep,c_gender,c_on_off_campus,c_place_studying,c_extracurricular,c_internet_interruption,n_add_materials,n_hours_exercising,n_hours_socmed,n_distance,n_housemate,n_meals,n_devices
Pass / Lulus,C,Reading & Writting / Membaca & Menulis,Self-study / Belajar sendiri,3.0,3.0,4.0,7.0,6.0,Female / Perempuan,Off-campus / Luar kampus,"At home / Di rumah (e.g., bedroom, study room)",Yes / Ya,2.0,3.0,5.0,4.0,4.0,2.0,2.0,3.0
Pass / Lulus,A+,"Auditory / Pendengaran (e.g., recording)",Group Study / Belajar berkumpulan,4.0,1.0,4.0,21.0,8.0,Female / Perempuan,On-campus / Dalam kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,2.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0
Pass / Lulus,B+,Reading & Writting / Membaca & Menulis,Self-study / Belajar sendiri,3.0,5.0,13.0,14.0,5.0,Female / Perempuan,On-campus / Dalam kampus,"At home / Di rumah (e.g., bedroom, study room)",No / Tidak,2.0,3.0,2.0,3.0,1.0,8.0,2.0,3.0
Pass / Lulus,B+,Reading & Writting / Membaca & Menulis,Self-study / Belajar sendiri,3.0,5.0,12.0,5.0,6.0,Male / Lelaki,Off-campus / Luar kampus,"At home / Di rumah (e.g., bedroom, study room)",Yes / Ya,2.0,4.0,2.0,7.0,7.0,6.0,2.0,3.0
Pass / Lulus,C+,"Auditory / Pendengaran (e.g., recording)",Self-study / Belajar sendiri,3.0,5.0,3.0,5.0,7.0,Male / Lelaki,On-campus / Dalam kampus,"At home / Di rumah (e.g., bedroom, study room)",No / Tidak,2.0,2.0,2.0,7.0,2.0,8.0,2.0,3.0
Pass / Lulus,B+,"Kinesthetic / Kinestetik (e.g., apply hands-on)",Group Study / Belajar berkumpulan,3.0,1.0,4.0,5.0,5.0,Male / Lelaki,On-campus / Dalam kampus,"At home / Di rumah (e.g., bedroom, study room)",No / Tidak,2.0,2.0,4.0,1.0,3.0,5.0,2.0,2.0
Pass / Lulus,C+,Reading & Writting / Membaca & Menulis,Group Study / Belajar berkumpulan,3.0,2.0,10.0,5.0,6.0,Female / Perempuan,Off-campus / Luar kampus,"At home / Di rumah (e.g., bedroom, study room)",Yes / Ya,1.0,3.0,1.0,2.0,2.0,8.0,2.0,3.0
Fail / Gagal,G,Reading & Writting / Membaca & Menulis,Self-study / Belajar sendiri,1.0,5.0,2.0,2.0,6.0,Female / Perempuan,Off-campus / Luar kampus,At cafes or other public spaces / Kafe atau tempat umum lain,No / Tidak,1.0,1.0,2.0,9.0,6.0,2.0,3.0,4.0
Pass / Lulus,E,Reading & Writting / Membaca & Menulis,Group Study / Belajar berkumpulan,3.0,4.0,5.0,7.0,5.0,Male / Lelaki,On-campus / Dalam kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,2.0,5.0,6.0,5.0,1.0,6.0,3.0,3.0
Fail / Gagal,E,"Auditory / Pendengaran (e.g., recording)",Self-study / Belajar sendiri,3.0,5.0,4.0,3.0,5.0,Female / Perempuan,Off-campus / Luar kampus,At a tuition center or with a private tutor / Di pusat tuisyen atau tutor persendirian,Yes / Ya,3.0,2.0,0.0,5.0,3.0,4.0,3.0,3.0
