Timestamp,take_calculus,c_result,c_addmath_gred,c_learning_style,c_how_preparation,c_focus_math,c_difficulty_math,n_hours_studying,n_days_preparation,n_hours_sleep,c_gender,c_on_off_campus,c_place_studying,c_extracurricular,c_internet_interruption,n_add_materials,n_hours_exercising,n_hours_socmed,n_distance,n_housemate,n_meals,n_devices
12/5/2024 10:20,c_result,Pass / Lulus,A-,"Kinesthetic / Kinestetik (e.g., apply hands-on)",Self-study / Belajar sendiri,3,3,2,14,6,Male / Lelaki,Off-campus / Luar kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,2,2,4,5,3,8,2,3
12/5/2024 10:23,Yes / Ya,Fail / Gagal,C+,"Visual (e.g., picture)",Group Study / Belajar berkumpulan,2,4,2,7,4,Female / Perempuan,On-campus / Dalam kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,4,1,1,8,2,8,3,4
12/5/2024 10:27,Yes / Ya,Pass / Lulus,A+,"Kinesthetic / Kinestetik (e.g., apply hands-on)",Group Study / Belajar berkumpulan,4,2,10,7,8,Male / Lelaki,On-campus / Dalam kampus,"At home / Di rumah (e.g., bedroom, study room)",No / Tidak,2,4,5,3,1,4,2,3
12/5/2024 10:27,Yes / Ya,Pass / Lulus,A,"Kinesthetic / Kinestetik (e.g., apply hands-on)",Group Study / Belajar berkumpulan,4,1,5,30,8,Male / Lelaki,On-campus / Dalam kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,1,4,5,4,1.5,6,3,3
12/5/2024 10:28,Yes / Ya,Pass / Lulus,B,"Visual (e.g., picture)",Self-study / Belajar sendiri,3,4,2,5,5,Male / Lelaki,Off-campus / Luar kampus,"At home / Di rumah (e.g., bedroom, study room)",No / Tidak,3,3,0,5,10,9,2,4
12/5/2024 10:29,Yes / Ya,Pass / Lulus,A,"Auditory / Pendengaran (e.g., recording)",Online Courses / Kursus dalam talian,3,2,4,3,7,Female / Perempuan,On-campus / Dalam kampus,At cafes or other public spaces / Kafe atau tempat umum lain,Yes / Ya,2,2,3,6,5,6,2,2
12/5/2024 10:30,Yes / Ya,Fail / Gagal,E,Reading & Writting / Membaca & Menulis,Self-study / Belajar sendiri,1,5,1,3,3,Male / Lelaki,Off-campus / Luar kampus,"At home / Di rumah (e.g., bedroom, study room)",Yes / Ya,3,1,2,10,5,8,2,4
12/5/2024 10:30,Yes / Ya,Fail / Gagal,D,Reading & Writting / Membaca & Menulis,Online Courses / Kursus dalam talian,2,5,3,4,7,Female / Perempuan,On-campus / Dalam kampus,At a tuition center or with a private tutor / Di pusat tuisyen atau tutor persendirian,Yes / Ya,4,2,2,6,4,6,3,2
12/5/2024 10:30,Yes / Ya,Pass / Lulus,C,"Auditory / Pendengaran (e.g., recording)",Self-study / Belajar sendiri,3,4,5,7,7,Male / Lelaki,On-campus / Dalam kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,2,2,7,6,1,6,2,4
12/5/2024 10:31,Yes / Ya,Fail / Gagal,E,"Visual (e.g., picture)",Self-study / Belajar sendiri,1,5,1,1,4,Male / Lelaki,Off-campus / Luar kampus,"At home / Di rumah (e.g., bedroom, study room)",Yes / Ya,3,1,2,8,6,6,2,1
12/5/2024 10:33,Yes / Ya,Pass / Lulus,A-,"Kinesthetic / Kinestetik (e.g., apply hands-on)",Group Study / Belajar berkumpulan,2,2,1,3,8,Female / Perempuan,Off-campus / Luar kampus,At cafes or other public spaces / Kafe atau tempat umum lain,Yes / Ya,2,1,2,9,8,4,3,2
12/5/2024 10:33,Yes / Ya,Fail / Gagal,E,Reading & Writting / Membaca & Menulis,Self-study / Belajar sendiri,1,5,2,2,5,Male / Lelaki,On-campus / Dalam kampus,"At home / Di rumah (e.g., bedroom, study room)",Yes / Ya,3,1,6,9,1,6,3,2
12/5/2024 10:34,Yes / Ya,Fail / Gagal,D,"Auditory / Pendengaran (e.g., recording)",Self-study / Belajar sendiri,2,4,2,2,6,Female / Perempuan,Off-campus / Luar kampus,At cafes or other public spaces / Kafe atau tempat umum lain,Yes / Ya,4,1,3,7,6,6,1,2
12/5/2024 10:34,Yes / Ya,Pass / Lulus,A-,"Auditory / Pendengaran (e.g., recording)",Group Study / Belajar berkumpulan,4,4,8,5,8,Male / Lelaki,On-campus / Dalam kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",No / Tidak,2,2,4,5,2,2,3,2
12/5/2024 10:35,Yes / Ya,Pass / Lulus,B+,Reading & Writting / Membaca & Menulis,Group Study / Belajar berkumpulan,4,2,10,10,8,Male / Lelaki,Off-campus / Luar kampus,"At home / Di rumah (e.g., bedroom, study room)",No / Tidak,1,5,5,4,10,5,3,3
12/5/2024 10:35,Yes / Ya,Fail / Gagal,G,Reading & Writting / Membaca & Menulis,Tutoring / Tuisyen,1,5,4,2,3,Female / Perempuan,On-campus / Dalam kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,3,1,0,5,8,5,3,3
12/5/2024 10:36,Yes / Ya,Fail / Gagal,Not Taken / Tidak Ambil,"Visual (e.g., picture)",Self-study / Belajar sendiri,1,5,2,1,6,Male / Lelaki,Off-campus / Luar kampus,"At home / Di rumah (e.g., bedroom, study room)",No / Tidak,4,1,2,12,7,8,2,2
12/5/2024 10:36,Yes / Ya,Pass / Lulus,A,Reading & Writting / Membaca & Menulis,Self-study / Belajar sendiri,4,3,5,7,7,Female / Perempuan,Off-campus / Luar kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,2,3,3,5,5,4,3,3
12/5/2024 10:38,Yes / Ya,Fail / Gagal,G,Reading & Writting / Membaca & Menulis,Self-study / Belajar sendiri,3,5,2,4,5,Male / Lelaki,On-campus / Dalam kampus,"At home / Di rumah (e.g., bedroom, study room)",Yes / Ya,2,1,2,7,3,5,4,3
12/5/2024 10:39,Yes / Ya,Fail / Gagal,E,Reading & Writting / Membaca & Menulis,Group Study / Belajar berkumpulan,2,4,3,6,7,Female / Perempuan,Off-campus / Luar kampus,At a tuition center or with a private tutor / Di pusat tuisyen atau tutor persendirian,Yes / Ya,2,2,2,7,4,3,3,2
12/6/2024 21:50,Yes / Ya,Fail / Gagal,D,"Visual (e.g., picture)",Online Courses / Kursus dalam talian,1,5,1,3,10,Male / Lelaki,Off-campus / Luar kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,3,2,1,10,4,6,2,3
12/6/2024 21:53,Yes / Ya,Fail / Gagal,E,"Auditory / Pendengaran (e.g., recording)",Self-study / Belajar sendiri,2,5,2,2,5,Female / Perempuan,On-campus / Dalam kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,4,1,1,8,2,8,3,3
12/6/2024 21:53,Yes / Ya,Pass / Lulus,A-,"Kinesthetic / Kinestetik (e.g., apply hands-on)",Self-study / Belajar sendiri,3,2,6,6,7,Male / Lelaki,On-campus / Dalam kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,2,2,5,5,5,4,2,3
12/6/2024 21:55,Yes / Ya,Pass / Lulus,A,"Visual (e.g., picture)",Tutoring / Tuisyen,3,2,6,5,7,Female / Perempuan,On-campus / Dalam kampus,At a tuition center or with a private tutor / Di pusat tuisyen atau tutor persendirian,No / Tidak,2,3,4,5,1,4,3,3
12/6/2024 21:56,Yes / Ya,Pass / Lulus,A+,"Kinesthetic / Kinestetik (e.g., apply hands-on)",Online Courses / Kursus dalam talian,4,1,7,7,8,Male / Lelaki,Off-campus / Luar kampus,At cafes or other public spaces / Kafe atau tempat umum lain,No / Tidak,1,2,6,4,4,5,3,3
12/6/2024 21:57,Yes / Ya,Pass / Lulus,A+,"Kinesthetic / Kinestetik (e.g., apply hands-on)",Group Study / Belajar berkumpulan,4,1,5,30,8,Male / Lelaki,On-campus / Dalam kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,1,3,3,5,2,2,3,3
12/6/2024 21:58,Yes / Ya,Pass / Lulus,B+,Reading & Writting / Membaca & Menulis,Self-study / Belajar sendiri,3,3,4,4,6,Male / Lelaki,Off-campus / Luar kampus,At cafes or other public spaces / Kafe atau tempat umum lain,Yes / Ya,3,1,3,6,10,6,3,2
12/6/2024 22:00,Yes / Ya,Pass / Lulus,B,Reading & Writting / Membaca & Menulis,Self-study / Belajar sendiri,2,4,2,3,6,Male / Lelaki,On-campus / Dalam kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,2,1,4,6,1,6,2,2
12/6/2024 22:02,Yes / Ya,Fail / Gagal,D,"Auditory / Pendengaran (e.g., recording)",Self-study / Belajar sendiri,1,4,3,3,5,Male / Lelaki,Off-campus / Luar kampus,At cafes or other public spaces / Kafe atau tempat umum lain,Yes / Ya,2,2,4,5,6,6,3,1
